1	31,79
2	6,12,13,20,24,29,34,39,41,51,53,54,57,58,63,65,75,77,93,97
3	38,52,59
4	1,2,8,17,61,94,98,99
5	10,19,27,55,73,78,85,88,89
6	5,7,9,15,23,30,35,43,44,45,46,47,49,62,66,67,76,81,86,87,90
7	18,21,74,82
8	14,25,26,33,40,42,50,69,80,84,91,100
9	3,4,16,32,56,60,64
10	11,22,28,36,37,48,68,70,71,72,83,92,95,96

Goodness (SSE) for the clustering is : 7.757273195985593
